"id","country"
1,일본
2,타이완
3,홍콩
4,마카오
5,태국
6,말레이시아
7,필리핀
8,인도네시아
9,싱가포르
10,브루나이
11,미얀마
12,라오스
13,베트남
14,동티모르
15,인도
16,스리랑카
17,파키스탄
18,네팔
19,방글라데시
20,아프가니스탄
21,캄보디아
22,부탄
23,몰디브
24,몽골
25,중국
26,한국계중국인
27,이란
28,사우디아라비아
29,이스라엘
30,요르단
31,레바논
32,쿠웨이트
33,시리아
34,터키
35,예멘
36,카타르
37,아랍에미리트연합
38,오만
39,이라크
40,바레인
41,키프로스
42,팔레스타인
43,우즈베키스탄
44,카자흐스탄
45,키르기즈
46,투르크메니스탄
47,타지키스탄
48,미국
49,캐나다
50,멕시코
51,니카라과
52,온두라스
53,도미니카연방
54,엘살바도르
55,아이티
56,트리니다드토바고
57,과테말라
58,자메이카
59,바베이도스
60,바하마
61,벨리즈
62,세인트루시아
63,쿠바
64,파나마
65,코스타리카
66,도미니카공화국
67,브라질
68,콜롬비아
69,아르헨티나
70,우루과이
71,파라과이
72,칠레
73,베네수엘라
74,볼리비아
75,가이아나
76,페루
77,에콰도르
78,수리남
79,그레나다
80,세인트크리스토퍼네비스
81,영국
82,독일
83,프랑스
84,네덜란드
85,스웨덴
86,스위스
87,이탈리아
88,덴마크
89,노르웨이
90,벨기에
91,오스트리아
92,스페인
93,그리스
94,포르투갈
95,핀란드
96,아일랜드
97,룩셈부르크
98,몰타
99,아이슬란드
100,리투아니아
101,라트비아
102,에스토니아
103,슬로베니아
104,크로아티아
105,보스니아-헤르체고비나
106,마케도니아
107,몬테네그로
108,세르비아
109,코소보
110,루마니아
111,체코
112,슬로바키아
113,불가리아
114,폴란드
115,헝가리
116,알바니아
117,러시아(연방)
118,한국계러시아인
119,우크라이나
120,벨로루시
121,몰도바
122,아르메니아
123,아제르바이잔
124,조지아
125,영국외지민
126,오스트레일리아
127,뉴질랜드
128,피지
129,파푸아뉴기니
130,나우루
131,키리바시
132,통가
133,팔라우
134,바누아투
135,솔로몬군도
136,나이지리아
137,이집트
138,남수단공화국
139,남아프리카공화국
140,튀니지
141,리비아
142,가나
143,모로코
144,수단
145,에티오피아
146,모리셔스
147,잠비아
148,우간다
149,탄자니아
150,케냐
151,라이베리아
152,가봉
153,말리
154,소말리아
155,알제리
156,기니비사우
157,말라위
158,코트디부아르
159,세네갈
160,짐바브웨
161,카메룬
162,스와질란드
163,콩고
164,콩고민주공화국
165,마다가스카르
166,부룬디
167,모리타니
168,레소토
169,시에라리온
170,기니
171,니제르
172,앙골라
173,차드
174,적도기니
175,중앙아프리카공화국
176,보츠와나
177,나미비아
178,카보베르데
179,감비아
180,토고
181,르완다
182,코모로
183,모잠비크
184,베냉
185,부르키나파소
186,에리트레아
187,기타
